ID do Partido,Nome,Sigla,Data de Criação,Membros,Líderes
36763,Partido Republicano da Ordem Social,PROS,N/A,"Weliton Prado, Toninho Wandscheer, Max Lemos",Nenhum líder encontrado
36832,Partido Socialista Brasileiro,PSB,N/A,"Felipe Carreras, Lídice da Mata, Paulo Foletto, Paulo Folletto, Jonas Donizette, Luciano Ducci, Heitor Schuch, Gervásio Maia, Tabata Amaral, Bandeira de Mello, Marcelo Lima, Lucas Ramos, Eriberto Medeiros, Guilherme Uchoa, Pedro Campos, Duarte, Duarte Jr.","Gervásio Maia, Duarte Jr., Pedro Campos, Heitor Schuch, Tabata Amaral"
36833,Partido Social Cristão,PSC,N/A,"Gilberto Nascimento, Leonardo Gadelha, Romero Rodrigues, Ruy Carneiro, Aluisio Mendes, Glaustin da Fokus, Euclydes Pettersen, Mariana Carvalho, Duarte Gonçalves Jr",Nenhum líder encontrado
36834,Partido Social Democrático,PSD,N/A,"Sérgio Brito, Raimundo Santos, Átila Lins, Carlos Sampaio, Gilberto Nascimento, Júlio Cesar, Paulo Magalhães, Laura Carneiro, Stefano Aguiar, Ismael, Luciano Azevedo, Darci de Matos, Pedro Paulo, Luciano Alves, Hugo Leal, Luiz Fernando Faria, Domingos Neto, Caio Vianna, Danrlei de Deus Hinterholz, Antonio Brito, Diego Andrade, Sandro Alex, Luiz Nishimori, Fabio Reis, Leandre, Misael Varella, Ricardo Guidi, Sargento Fahur, Luisa Canziani, Marcos Aurélio Sampaio, Marcelo Calero, Célio Studart, Júnior Ferrari, Cezinha de Madureira, Igor Timo, Marco Bertaiolli, Sidney Leite, Otto Alencar Filho, Charles Fernandes, Reinhold Stephanes, Ricardo Silva, Josivaldo JP, Jones Moura, Zé Haroldo Cathedral, Delegada Katarina, Ismael Alexandrino, Daniel Soranz, Dr. Daniel Soranz, Luiz Gastão, Paulo Litro, Diego Coronel, Beto Preto, Castro Neto, Gabriel Nunes, Rodrigo Estacho, Renan Ferreirinha, Eliane Braz, Saulo Pedroso, Nitinho, Naumi Amorim",Antonio Brito
36835,Partido da Social Democracia Brasileira,PSDB,N/A,"Carlos Sampaio, Geraldo Resende, Aécio Neves, Dagoberto Nogueira, Paulo Abi-Ackel, Geovania de Sá, Vitor Lippi, Beto Pereira, Lucas Redecker, Daniel Trzeciak, Adolfo Viana, Lêda Borges, Paulo Alexandre Barbosa, Beto Richa",Nenhum líder encontrado
36839,Partido Socialismo e Liberdade,PSOL,N/A,"Ivan Valente, Chico Alencar, Luiza Erundina, Glauber Braga, Fernanda Melchionna, Talíria Petrone, Sâmia Bomfim, Célia Xakriabá, Tarcísio Motta, Pastor Henrique Vieira, Guilherme Boulos, Sônia Guajajara, Erika Hilton, Professora Luciene Cavalcante",Nenhum líder encontrado
36844,Partido dos Trabalhadores,PT,N/A,"Arlindo Chinaglia, Rui Falcão, Benedita da Silva, Luiz Couto, Josias Gomes, Leonardo Monteiro, Odair Cunha, Patrus Ananias, Reginaldo Lopes, Vicentinho, Rubens Otoni, Vander Loubet, Maria do Rosário, Paulo Pimenta, Lindbergh Farias, Gleisi Hoffmann, Enio Verri, Carlos Zarattini, Jilmar Tatto, José Airton Félix Cirilo, José Guimarães, Paulo Teixeira, Afonso Florence, Marcon, Bohn Gass, Padre João, Waldenor Pereira, Erika Kokay, Zeca Dirceu, Pedro Uczai, Valmir Assunção, Kiko Celeguim, Paulão, Miguel Ângelo, Jorge Solla, Luizianne Lins, Helder Salomão, Rubens Pereira Júnior, João Daniel, Nilto Tatto, Merlong Solano, Flávio Nogueira, Carlos Veras, Fernando Mineiro, Natália Bonavides, Rogério Correia, Paulo Guedes, Airton Faleiro, Alencar Santana, Alexandre Padilha, Zé Neto, Joseildo Ramos, Jack Rocha, Camila Jara, Denise Pessôa, Alexandre Lindenmeyer, Ana Paula Lima, Delegada Adriana Accorsi, Washington Quaquá, Dimas Gadelha, Reimont, Dandara, Ana Pimentel, Luiz Marinho, Juliana Cardoso, Dilvanda Faro, Tadeu Veneri, Dr. Francisco, Ivoneide Caetano, Florentino Neto, Carol Dartora, Alfredinho, Reginete Bispo, Welter, Carla Ayres, Pedro Tourinho, Elisangela Araujo",Gleisi Hoffmann
36845,Partido Trabalhista Brasileiro,PTB,N/A,Bebeto,Nenhum líder encontrado
36851,Partido Verde,PV,N/A,"Bacelar, Clodoaldo Magalhães, Aliel Machado, Prof. Reginaldo Veras, Luciano Amaral, Jadyel Alencar",Luciano Amaral
36886,Rede Sustentabilidade,REDE,N/A,"Túlio Gadêlha, Marina Silva",Nenhum líder encontrado
37908,Republicanos,REPUBLICANOS,N/A,"Celso Russomanno, Wilson Santiago, Silas Câmara, Prof. Paulo Fernando, Lafayette de Andrada, Hildo do Candango, Raniery Paulino, Antônia Lúcia, Cleber Verde, Vinicius Carvalho, Márcio Marinho, Milton Vieira, Jhonatan de Jesus, Augusto Coutinho, Hugo Motta, Ronaldo Nogueira, Aluisio Mendes, Diego Garcia, Rosangela Gomes, Carlos Gomes, Amaro Neto, Julio Cesar Ribeiro, Gustinho Ribeiro, Ossesio Silva, Silvio Costa Filho, Euclydes Pettersen, Gilberto Abramo, Marcos Pereira, Maria Rosas, Alex Santana, Jorge Braz, Jorge Goetten, Ely Santos, Messias Donato, Gilvan Maximo, Fred Linhares, Albuquerque, Defensor Stélio Dener, Alexandre Guimarães, Ricardo Ayres, Antonio Andrade, Franciane Bayer, Tenente Coronel Zucco, Zucco, Jeferson Rodrigues, Murilo Galdino, Roberto Duarte, Thiago Flores, Marcelo Crivella, Luciano Vieira, Samuel Viana, Rogéria Santos, Jadyel Alencar, Adail Filho, Luis Carlos Gomes, Gabriel Mota, Mariana Carvalho, Duarte Gonçalves Jr","Marcos Pereira, Hugo Motta"
36852,Sem Partido,S.PART.,N/A,"Chiquinho Brazão, Marcelo Lima, Yury do Paredão",Nenhum líder encontrado
37904,Solidariedade,SOLIDARIEDADE,N/A,"Paulinho da Força, Aureo Ribeiro, Weliton Prado, Zé Silva, Loreny, Wolmer Araújo, Max Lemos, Marcelo Lima, Maria Arraes","Aureo Ribeiro, Paulinho da Força"
