ID,Deputados,Órgãos,Votações
1098,"73435, 73673, 74000, 74419, 74477, 74553, 74585, 74678, 74807",5293,Nenhuma votação
1099,"73435, 73446, 73535, 73673, 74000, 74419, 74477, 74553, 74585, 74678, 74779, 74807",5293,Nenhuma votação
10181,"73475, 73487, 73532, 73888, 73896",180,Nenhuma votação
10182,"73475, 73487, 73532, 73888, 73896",180,Nenhuma votação
10183,"73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10184,"73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10185,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10186,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10187,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10188,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10189,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10190,"73475, 73487, 74192, 74199, 74646",180,Nenhuma votação
10191,"73475, 73487, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10192,"73475, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10193,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
1101,"73435, 73446, 73535, 73673, 74419, 74585, 74678, 74779, 74807, 74828",5293,Nenhuma votação
1102,"73435, 73446, 73535, 73581, 74000, 74419, 74477, 74807",5293,Nenhuma votação
1104,"73435, 73673, 74240, 74419, 74462, 74477, 74553, 74585, 74678",5293,Nenhuma votação
10194,"73487, 73532, 73888, 74192",180,Nenhuma votação
10195,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10196,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10197,"73475, 73487, 73532, 73888",180,Nenhuma votação
10198,"73475, 73532, 74646",180,Nenhuma votação
10199,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10200,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10201,"73475, 73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10202,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10203,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10204,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10205,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
1105,"73435, 73446, 73535, 73673, 74000, 74419, 74553, 74585, 74779, 74807",5293,Nenhuma votação
10206,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10207,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10208,"73475, 73487, 73532, 73896, 74192, 74199",180,Nenhuma votação
10209,"73475, 73487, 73532, 73896, 74192, 74199",180,Nenhuma votação
10210,"73475, 73487, 73532, 73888, 74192, 74646",180,Nenhuma votação
10211,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10212,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10213,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
