ID,autores,relacionadas,votacoes,codTipoAutor
12684,['Wellington Dias'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12684/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12684/votacoes'}]}",Erro 404
12685,['Eurípedes Miranda'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12685/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12685/votacoes'}]}",Erro 404
12686,['NEUTON DIPP'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12686/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12686/votacoes'}]}",Erro 404
12687,['Wellington Dias'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12687/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12687/votacoes'}]}",Erro 404
12688,['Cunha Bueno'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12688/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12688/votacoes'}]}",Erro 404
12666,['Gastão Vieira'],"{'dados': [{'id': 82243, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/82243', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': 'Parecer do Relator, Dep. Ney Lopes, pela constitucionalidade da licença requerida por Deputado Federal par exercer o cargo de Secretário de Estado Extraordinário ainda que tenha que responder pela Gerência de Estado ou Gerência de Desenvolvimento Regional.'}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12666/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12666/votacoes'}]}",Erro 404
12669,['Walter Pinheiro'],"{'dados': [{'id': 336728, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/336728', 'siglaTipo': 'PAR', 'codTipo': '187', 'numero': '1', 'ano': '0', 'ementa': ''}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12669/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12669/votacoes'}]}",Erro 404
12671,['PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS'],"{'dados': [{'id': 82245, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/82245', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': 'Parecer do Relator, Dep. Bonifácio de Andrada, pela Regimentalidade, tendo em vista que não há usurpação da faculdade do autor da proposição para representar junto ao Procurador-Geral da República.'}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12671/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12671/votacoes'}]}",Erro 404
12734,['Luiz Bittencourt'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12734/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12734/votacoes'}]}",Erro 404
12735,['Hermes Parcianello'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12735/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12735/votacoes'}]}",Erro 404
12741,['Comissão de Agricultura e Política Rural'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12741/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12741/votacoes'}]}",Erro 404
